DIM_NAME,1S,1W,2S,2W,3S,3W,4S,4W
A75445,"0,0","0.0001,0.971","0,0","-0.0001,0.9596","0,0","0.0025,0.2013","0,0","0.0022,0.2718"
A75456,"0.0012,0.8417","-0.0007,0.7429","-0.0012,0.8276","-0.002,0.274","0.002,0.7425","0.0027,0.1709","-0.0035,0.5657","0.0049,0.0155"
A7550450,"-0.0023,0.7066","-0.0019,0.3531","-0.0052,0.3526","0.0007,0.7055","-0.0032,0.5993","0.0008,0.6762","-0.0024,0.6946","0.0052,0.0097"
A75558,"0,0","-0.0021,0.3018","0,0","-0.0009,0.6374","0,0","-0.002,0.3075","0,0","0.0018,0.3579"
A75569,"-0.0039,0.5307","0.0021,0.2993","-0.0069,0.2164","0.002,0.2854","0.0036,0.5506","0.0013,0.5235","-0.004,0.5132","0.0022,0.2716"
A75650,"0,0","0.0073,0.0003","0,0","0.0021,0.2511","0,0","0.0027,0.179","0,0","0.004,0.0483"
A75683,"0,0","0.0012,0.567","0,0","0.001,0.5843","0,0","0.0004,0.8504","0,0","0.0004,0.8516"
A75694,"0.0298,0.0","0.0097,0.0","0.002,0.7274","0.0006,0.7445","-0.0034,0.5779","-0.0011,0.5846","-0.0025,0.6873","-0.0004,0.8269"
A75718,"-0.0007,0.9057","-0.0007,0.7171","-0.0032,0.5674","-0.0006,0.7519","-0.0012,0.8404","0.003,0.1358","-0.0008,0.9017","0.0025,0.221"
A75729,"0,0","0.0023,0.2475","0,0","0.0009,0.6417","0,0","-0.0016,0.4326","0,0","-0.0016,0.4237"
A75865,"-0.0029,0.634","-0.0013,0.5251","0.0011,0.8413","0.0005,0.7918","-0.0049,0.4183","-0.0016,0.4333","0.0004,0.9537","-0.0002,0.9144"
A75887,"0,0","0.0047,0.0193","0,0","0.0001,0.967","0,0","0.0025,0.2153","0,0","-0.0015,0.4572"
A76017,"0,0","-0.0012,0.5617","0,0","0.0033,0.0691","0,0","-0.0027,0.1694","0,0","-0.0025,0.2121"
